Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,symmetric,-17.662577648553405
100% Corpus,3,0.31,0.01,-17.060639188078415
100% Corpus,3,0.31,0.31,-17.695909812959943
100% Corpus,3,0.31,0.61,-17.654943816985533
100% Corpus,3,0.31,0.9099999999999999,-17.69820017301527
100% Corpus,3,0.31,symmetric,-17.626628076045947
100% Corpus,3,0.61,0.01,-17.060639188078415
100% Corpus,3,0.61,0.31,-17.725703502613033
100% Corpus,3,0.61,0.61,-17.72817166628775
100% Corpus,3,0.61,0.9099999999999999,-17.749878096586624
100% Corpus,3,0.61,symmetric,-17.774156255755255
100% Corpus,3,0.9099999999999999,0.01,-17.060639188078415
100% Corpus,3,0.9099999999999999,0.31,-17.849461731461016
100% Corpus,3,0.9099999999999999,0.61,-17.871341423546966
100% Corpus,3,0.9099999999999999,0.9099999999999999,-17.92289475943662
100% Corpus,3,0.9099999999999999,symmetric,-17.819050812482654
100% Corpus,3,symmetric,0.01,-17.060639188078415
100% Corpus,3,symmetric,0.31,-17.6877456401103
100% Corpus,3,symmetric,0.61,-17.786932811294026
100% Corpus,3,symmetric,0.9099999999999999,-17.672765692877903
100% Corpus,3,symmetric,symmetric,-17.678420291644738
100% Corpus,3,asymmetric,0.01,-17.060639188078415
100% Corpus,3,asymmetric,0.31,-17.706092868929122
100% Corpus,3,asymmetric,0.61,-17.651562992866573
100% Corpus,3,asymmetric,0.9099999999999999,-17.662901322799353
100% Corpus,3,asymmetric,symmetric,-17.705756586134978
100% Corpus,4,0.01,0.01,-17.060639188078415
100% Corpus,4,0.01,0.31,-17.66350246441742
100% Corpus,4,0.01,0.61,-17.635733742206227
100% Corpus,4,0.01,0.9099999999999999,-17.65571218660128
100% Corpus,4,0.01,symmetric,-17.61357702508414
100% Corpus,4,0.31,0.01,-17.060639188078415
100% Corpus,4,0.31,0.31,-17.589594202180425
100% Corpus,4,0.31,0.61,-17.654489526902463
100% Corpus,4,0.31,0.9099999999999999,-17.685567308877186
100% Corpus,4,0.31,symmetric,-17.659236008356416
100% Corpus,4,0.61,0.01,-17.060639188078415
100% Corpus,4,0.61,0.31,-17.63191600344239
100% Corpus,4,0.61,0.61,-17.684711335558415
100% Corpus,4,0.61,0.9099999999999999,-17.66829284945663
100% Corpus,4,0.61,symmetric,-17.69199363848548
100% Corpus,4,0.9099999999999999,0.01,-17.060639188078415
100% Corpus,4,0.9099999999999999,0.31,-18.17121454555166
100% Corpus,4,0.9099999999999999,0.61,-18.166903076122114
100% Corpus,4,0.9099999999999999,0.9099999999999999,-18.19841815997583
100% Corpus,4,0.9099999999999999,symmetric,-18.072971458765256
100% Corpus,4,symmetric,0.01,-17.060639188078415
100% Corpus,4,symmetric,0.31,-17.61385180053894
100% Corpus,4,symmetric,0.61,-17.661541920552096
100% Corpus,4,symmetric,0.9099999999999999,-17.676325196326868
100% Corpus,4,symmetric,symmetric,-17.656647912262564
100% Corpus,4,asymmetric,0.01,-17.060639188078415
100% Corpus,4,asymmetric,0.31,-17.62299731248818
100% Corpus,4,asymmetric,0.61,-17.667247963092983
100% Corpus,4,asymmetric,0.9099999999999999,-17.670632989992043
100% Corpus,4,asymmetric,symmetric,-17.610090493081863
100% Corpus,5,0.01,0.01,-17.060639188078415
100% Corpus,5,0.01,0.31,-17.596678659504214
100% Corpus,5,0.01,0.61,-17.54654463254668
100% Corpus,5,0.01,0.9099999999999999,-17.624124133636975
100% Corpus,5,0.01,symmetric,-17.57931994430914
100% Corpus,5,0.31,0.01,-17.060639188078415
100% Corpus,5,0.31,0.31,-17.617018201647465
100% Corpus,5,0.31,0.61,-17.6133791010498
100% Corpus,5,0.31,0.9099999999999999,-17.610717864102842
100% Corpus,5,0.31,symmetric,-17.60040226911394
